waktu,tag,lat,long,tag_tujuan,tujuan_terdekat,durasi_tempuh,durasi_tempuh_unit,jarak_tempuh,jarak_tempuh_unit,rute
2023-02-06_13-04,mengemudi,-6.254602478608049,106.91497998166815,hospital,"Harum Sisma Medika Hospital, Jl. Lobi dan UGD RS Harum, RT.1/RW.13, Cipinang Melayu, Makasar, East Jakarta City, Jakarta 13620",9.0,min,2.5,km,Jl. Elang Malindo
2023-02-06_13-04,mengemudi,-6.254602478608049,106.91497998166815,hospital,"Harum Sisma Medika Hospital, Jl. Lobi dan UGD RS Harum, RT.1/RW.13, Cipinang Melayu, Makasar, East Jakarta City, Jakarta 13620",9.0,min,2.5,km,Jl. Raya Jatiwaringin
2023-02-06_13-04,mengemudi,-6.254602478608049,106.91497998166815,hospital,"Harum Sisma Medika Hospital, Jl. Lobi dan UGD RS Harum, RT.1/RW.13, Cipinang Melayu, Makasar, East Jakarta City, Jakarta 13620",9.0,min,2.5,km,Jl. Elang Malindo V
2023-02-06_13-04,mengemudi,-6.254602478608049,106.91497998166815,hospital,"Harum Sisma Medika Hospital, Jl. Lobi dan UGD RS Harum, RT.1/RW.13, Cipinang Melayu, Makasar, East Jakarta City, Jakarta 13620",9.0,min,2.5,km,Jl. Elang Malindo III
2023-02-06_13-04,mengemudi,-6.254602478608049,106.91497998166815,hospital,"Harum Sisma Medika Hospital, Jl. Lobi dan UGD RS Harum, RT.1/RW.13, Cipinang Melayu, Makasar, East Jakarta City, Jakarta 13620",9.0,min,2.5,km,Jl. Wirajasa
2023-02-06_13-04,mengemudi,-6.254602478608049,106.91497998166815,hospital,"Harum Sisma Medika Hospital, Jl. Lobi dan UGD RS Harum, RT.1/RW.13, Cipinang Melayu, Makasar, East Jakarta City, Jakarta 13620",9.0,min,2.5,km,Jl. Seulawah Raya
2023-02-06_13-04,mengemudi,-6.254602478608049,106.91497998166815,hospital,"Harum Sisma Medika Hospital, Jl. Lobi dan UGD RS Harum, RT.1/RW.13, Cipinang Melayu, Makasar, East Jakarta City, Jakarta 13620",9.0,min,2.5,km,Jl. Lobi dan UGD RS Harum
2023-02-06_13-05,mengemudi,-6.216258865013876,106.92316452036604,hospital,"Rumah Sakit Harapan Jayakarta, Blok KM No.18, Jl. Raya Bekasi No.7, RW.11, Jatinegara, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13930",12.0,min,5.7,km,Jl. Taman Buaran Dalam
2023-02-06_13-05,mengemudi,-6.216258865013876,106.92316452036604,hospital,"Rumah Sakit Harapan Jayakarta, Blok KM No.18, Jl. Raya Bekasi No.7, RW.11, Jatinegara, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13930",12.0,min,5.7,km,Jl. Taman Buaran Indah 1
2023-02-06_13-05,mengemudi,-6.216258865013876,106.92316452036604,hospital,"Rumah Sakit Harapan Jayakarta, Blok KM No.18, Jl. Raya Bekasi No.7, RW.11, Jatinegara, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13930",12.0,min,5.7,km,Jl. I Gusti Ngurah Rai
2023-02-06_13-05,mengemudi,-6.216258865013876,106.92316452036604,hospital,"Rumah Sakit Harapan Jayakarta, Blok KM No.18, Jl. Raya Bekasi No.7, RW.11, Jatinegara, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13930",12.0,min,5.7,km,Jl. Bekasi Timur Raya
2023-02-06_13-05,mengemudi,-6.216258865013876,106.92316452036604,hospital,"Rumah Sakit Harapan Jayakarta, Blok KM No.18, Jl. Raya Bekasi No.7, RW.11, Jatinegara, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13930",12.0,min,5.7,km,Jl. Raya Bekasi
2023-02-06_13-06,mengemudi,-6.183056577414338,106.77920204591464,hospital,"RS Grha Kedoya, Jl. Panjang No.26, RT.15/RW.7, North Kedoya, Kebonjeruk, West Jakarta City, Jakarta 11520",12.0,min,3.7,km,Jl. Patra
2023-02-06_13-06,mengemudi,-6.183056577414338,106.77920204591464,hospital,"RS Grha Kedoya, Jl. Panjang No.26, RT.15/RW.7, North Kedoya, Kebonjeruk, West Jakarta City, Jakarta 11520",12.0,min,3.7,km,Jl. Patra Tomang Raya
2023-02-06_13-06,mengemudi,-6.183056577414338,106.77920204591464,hospital,"RS Grha Kedoya, Jl. Panjang No.26, RT.15/RW.7, North Kedoya, Kebonjeruk, West Jakarta City, Jakarta 11520",12.0,min,3.7,km,Jl. Tj. Duren Barat
2023-02-06_13-06,mengemudi,-6.183056577414338,106.77920204591464,hospital,"RS Grha Kedoya, Jl. Panjang No.26, RT.15/RW.7, North Kedoya, Kebonjeruk, West Jakarta City, Jakarta 11520",12.0,min,3.7,km,Jl. Taman Ratu Raya
2023-02-06_13-06,mengemudi,-6.183056577414338,106.77920204591464,hospital,"RS Grha Kedoya, Jl. Panjang No.26, RT.15/RW.7, North Kedoya, Kebonjeruk, West Jakarta City, Jakarta 11520",12.0,min,3.7,km,Jl. Lontar Raya
2023-02-06_13-06,mengemudi,-6.183056577414338,106.77920204591464,hospital,"RS Grha Kedoya, Jl. Panjang No.26, RT.15/RW.7, North Kedoya, Kebonjeruk, West Jakarta City, Jakarta 11520",12.0,min,3.7,km,Jl. Tanjung Duren Barat
2023-02-06_13-06,mengemudi,-6.183056577414338,106.77920204591464,hospital,"RS Grha Kedoya, Jl. Panjang No.26, RT.15/RW.7, North Kedoya, Kebonjeruk, West Jakarta City, Jakarta 11520",12.0,min,3.7,km,Jl. Green Ville
2023-02-06_13-06,mengemudi,-6.183056577414338,106.77920204591464,hospital,"RS Grha Kedoya, Jl. Panjang No.26, RT.15/RW.7, North Kedoya, Kebonjeruk, West Jakarta City, Jakarta 11520",12.0,min,3.7,km,Jl. Ratu Kemuning
2023-02-06_13-06,mengemudi,-6.183056577414338,106.77920204591464,hospital,"RS Grha Kedoya, Jl. Panjang No.26, RT.15/RW.7, North Kedoya, Kebonjeruk, West Jakarta City, Jakarta 11520",12.0,min,3.7,km,Jl. Ratu Kamboja
2023-02-06_13-06,mengemudi,-6.183056577414338,106.77920204591464,hospital,"RS Grha Kedoya, Jl. Panjang No.26, RT.15/RW.7, North Kedoya, Kebonjeruk, West Jakarta City, Jakarta 11520",12.0,min,3.7,km,Jl. Kedoya Raya
2023-02-06_13-06,mengemudi,-6.183056577414338,106.77920204591464,hospital,"RS Grha Kedoya, Jl. Panjang No.26, RT.15/RW.7, North Kedoya, Kebonjeruk, West Jakarta City, Jakarta 11520",12.0,min,3.7,km,Jl. Panjang
2023-02-06_13-07,mengemudi,-6.159760139499759,106.95792512096706,hospital,Gading Pluit Hospital,22.0,min,9.7,km,Jl. Komp. Sltp 200
2023-02-06_13-07,mengemudi,-6.159760139499759,106.95792512096706,hospital,Gading Pluit Hospital,22.0,min,9.7,km,Jl. Tambun Rengas
2023-02-06_13-07,mengemudi,-6.159760139499759,106.95792512096706,hospital,Gading Pluit Hospital,22.0,min,9.7,km,Jl. Tanah Malaka Bul
2023-02-06_13-07,mengemudi,-6.159760139499759,106.95792512096706,hospital,Gading Pluit Hospital,22.0,min,9.7,km,Jl. Rorotan 8
2023-02-06_13-07,mengemudi,-6.159760139499759,106.95792512096706,hospital,Gading Pluit Hospital,22.0,min,9.7,km,Jl. Lake Garden Boulevard
2023-02-06_13-07,mengemudi,-6.159760139499759,106.95792512096706,hospital,Gading Pluit Hospital,22.0,min,9.7,km,Jl. Jkt Garden City Boulevard
2023-02-06_13-07,mengemudi,-6.159760139499759,106.95792512096706,hospital,Gading Pluit Hospital,22.0,min,9.7,km,Jl. Tipar Cakung
2023-02-06_13-07,mengemudi,-6.159760139499759,106.95792512096706,hospital,Gading Pluit Hospital,22.0,min,9.7,km,Jl. Sedayu City Klp. Gading
2023-02-06_13-07,mengemudi,-6.159760139499759,106.95792512096706,hospital,Gading Pluit Hospital,22.0,min,9.7,km,Jl. Boulevard Timur
2023-02-06_13-07,mengemudi,-6.335270000969643,106.81697586983684,hospital,"Hospital Ali Sibroh Malisi, Jl. Wr. Sila No.1, RT.8/RW.5, Gudang Baru, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630",6.0,min,1.5,km,Jl. Anggrek
2023-02-06_13-07,mengemudi,-6.335270000969643,106.81697586983684,hospital,"Hospital Ali Sibroh Malisi, Jl. Wr. Sila No.1, RT.8/RW.5, Gudang Baru, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630",6.0,min,1.5,km,Jl. Sirsak
